Battery,Efficiency,Fast_charge,Price.DE.,Range,Top_speed,Inovation_Score
75.0,172,670.0,59017.0,435,217,0.46183703713749974
57.5,137,700.0,46220.0,420,201,0.4026418529671259
60.5,183,370.0,44625.0,330,160,0.3402711335467288
61.7,171,630.0,39990.0,360,160,0.37941292759076456
75.0,149,780.0,55220.0,505,201,0.4587308244810615
57.5,164,580.0,47567.0,350,217,0.41189761520790064
71.0,197,480.0,77300.0,360,200,0.3975040904077921
64.0,173,550.0,41790.0,370,180,0.4046508443375014
44.0,176,320.0,23300.0,250,135,0.2764549131826202
82.5,170,530.0,53668.0,485,180,0.42408254684655905
80.7,157,800.0,59200.0,515,190,0.45350253068692614
60.0,158,530.0,46600.0,380,160,0.34237788331289865
64.7,170,550.0,55000.0,380,180,0.38486980976556845
64.0,164,370.0,42900.0,390,167,0.3346524354457787
75.0,181,640.0,63667.0,415,250,0.5000640150143104
64.8,168,390.0,45690.0,385,167,0.33997642550776974
100.0,220,540.0,67264.284789644,455,250,0.5439204787357479
95.0,170,780.0,57833.3444159492,560,282,0.5999977090035371
74.0,192,520.0,67300.0,385,180,0.39208523009877977
90.0,243,430.0,67264.284789644,370,200,0.4808520652678555
37.3,159,390.0,34990.0,235,150,0.2714327815549692
85.4,180,450.0,70805.0,475,180,0.4002549923843982
95.0,165,800.0,95970.0,575,250,0.5137917604799778
60.5,178,340.0,35990.0,340,160,0.3426924443486955
58.0,166,470.0,39370.0,350,160,0.34463512265855656
25.0,152,180.0,22550.0,165,125,0.1332977971395693
81.2,171,710.0,70200.0,475,193,0.4347427229470153
80.7,179,700.0,70800.0,450,225,0.48226617654638
50.8,167,490.0,41990.0,305,170,0.33246813774537526
68.3,185,420.0,37990.0,370,175,0.38100947210987435
76.6,189,630.0,67264.284789644,405,160,0.38252074109438694
101.7,199,760.0,57833.3444159492,510,240,0.5675604180740647
64.0,188,510.0,47490.0,340,160,0.37104868066367747
49.0,175,430.0,36590.0,280,180,0.3641687872032576
62.0,185,520.0,42490.0,335,180,0.39823707011324555
74.0,180,1070.0,51990.0,410,185,0.500501982722239
77.0,162,710.0,56995.0,475,180,0.421159589160721
105.2,208,680.0,100100.0,505,200,0.4726811966876841
106.0,210,640.0,85300.0,505,200,0.48103258142993865
50.8,169,390.0,34990.0,300,160,0.32343521496172123
73.0,183,460.0,67264.284789644,400,180,0.3709314786566509
82.5,165,550.0,47578.0,500,180,0.41961582826584054
77.0,169,680.0,48900.0,455,180,0.4294711870500736
65.4,168,400.0,47190.0,390,170,0.3385526114503899
58.0,166,450.0,39995.0,350,160,0.3402892591148837
52.0,165,230.0,36840.0,315,135,0.24345341434561887
96.0,226,740.0,76490.0,425,200,0.5084842886749931
46.3,162,460.0,39100.0,285,150,0.30323663139532075
85.0,210,1000.0,57833.3444159492,405,250,0.6150726715193039
21.3,158,552.9608938547486,28000.0,135,135,0.24202323949593635
77.0,171,630.0,46450.0,450,160,0.40288430354652505
86.4,240,330.0,71400.0,360,180,0.4316562068552103
28.9,161,260.0,35700.0,180,150,0.24437671239575826
67.0,156,580.0,56500.0,430,190,0.3895514095299092
74.0,168,1150.0,61100.0,440,185,0.5069401339491162
74.0,206,940.0,72990.0,360,260,0.5754909163807154
74.0,149,1290.0,54000.0,495,185,0.5143475439754341
50.8,164,500.0,37000.0,310,150,0.31799817435413136
87.0,193,540.0,58990.0,450,160,0.4011629214462693
39.0,166,230.0,33400.0,235,144,0.255781169026783
77.0,223,480.0,64581.0,345,145,0.3678662829203112
70.5,168,580.0,67264.284789644,420,160,0.345468836558119
77.0,177,650.0,46335.0,435,180,0.4336260422350165
46.3,157,470.0,67264.284789644,295,150,0.2654382485063098
94.0,186,700.0,63970.0,505,200,0.4923093229685622
46.3,160,460.0,36040.0,290,150,0.29603307108454746
94.0,202,690.0,67264.284789644,465,200,0.4991091075554265
118.0,172,870.0,57833.3444159492,685,270,0.6384571739615129
74.4,175,430.0,45990.0,425,180,0.3899972210495811
98.0,188,680.0,67264.284789644,520,180,0.45272122056031683
80.0,208,950.0,67264.284789644,385,260,0.5952702784768358
74.0,190,1020.0,47900.0,390,185,0.5060130053515737
57.5,164,810.0,47567.0,350,217,0.4529690437793292
61.9,185,300.0,47590.0,335,160,0.32682502829413884
44.9,176,260.0,29990.0,255,150,0.2801725893057694
109.0,220,1040.0,95990.0,495,250,0.6092486391192206
79.0,168,700.0,54475.0,470,205,0.45756150680256147
64.0,178,540.0,48490.0,360,180,0.4092490329490986
64.7,166,560.0,47900.0,390,170,0.36614748368039296
54.0,148,900.0,43900.0,365,185,0.40964709270644306
86.0,165,800.0,67264.284789644,520,180,0.4392130831281288
46.3,178,420.0,40650.0,260,150,0.30473365748163095
66.5,196,490.0,67264.284789644,340,160,0.3627739733424069
61.7,193,560.0,46990.0,320,200,0.44516390186871724
62.0,197,490.0,48990.0,315,180,0.41370605806314065
64.0,200,480.0,57490.0,320,160,0.3692396562984165
108.4,171,950.0,57833.3444159492,635,210,0.5563164554097743
106.5,201,630.0,69950.0,530,205,0.5069970363875262
79.0,195,600.0,53000.0,405,180,0.43152398392235247
94.0,177,740.0,60970.0,530,200,0.47677130917496957
77.0,159,720.0,51150.0,485,180,0.4273634776024027
81.2,191,630.0,99500.0,425,230,0.4508756838717853
85.0,202,1030.0,57833.3444159492,420,245,0.6028074645247596
74.0,185,1050.0,55980.0,400,185,0.5090253482642435
57.4,171,330.0,38490.0,335,185,0.3472449119092559
30.0,176,210.0,35990.0,170,140,0.23059046504232308
94.0,190,740.0,67264.284789644,495,180,0.456847812508949
84.0,230,330.0,68990.0,365,180,0.39384827661559635
39.2,160,210.0,36400.0,245,155,0.24180496484673836
106.5,199,640.0,57000.0,535,200,0.5163527030585844
52.0,168,230.0,37840.0,310,140,0.2616214106772395
96.0,213,780.0,72490.0,450,185,0.47272480608528733
64.0,200,480.0,68000.0,320,160,0.3638638166286866
95.0,200,660.0,100970.0,475,250,0.5025522815143164
70.5,170,560.0,53514.0,415,160,0.35875405360440593
74.0,192,1010.0,59200.0,385,185,0.5047501124672703
50.8,169,450.0,44765.0,300,170,0.31994080679004655
95.0,209,630.0,57833.3444159492,455,262,0.5784530495180735
79.0,203,580.0,59950.0,390,180,0.4418349831830499
54.0,183,720.0,43900.0,295,185,0.41206986204432783
77.0,169,680.0,48970.0,455,180,0.4293844503331822
66.5,196,490.0,67264.284789644,340,160,0.3521857380482893
106.0,202,660.0,87550.0,525,200,0.4754823271852925
64.7,170,550.0,56500.0,380,180,0.38301116583218225
77.0,183,630.0,52950.0,420,180,0.4266082816043514
64.0,183,520.0,50470.0,350,180,0.4067335695971348
105.2,217,650.0,57833.3444159492,485,250,0.583537133713848
50.8,167,490.0,36490.0,305,150,0.3199468155765394
62.0,175,550.0,43490.0,355,180,0.39298342541525794
70.0,192,400.0,46990.0,365,200,0.4040467479876021
59.0,174,240.0,41100.0,340,157,0.30993888400858965
79.0,176,670.0,58775.0,450,205,0.4632099682523737
25.0,156,170.0,24550.0,160,125,0.16542000073756954
90.6,171,790.0,67264.284789644,530,210,0.48374902633607497
77.0,169,680.0,47595.0,455,160,0.40351656322988727
108.4,224,720.0,57833.3444159492,485,210,0.5609385217276708
96.0,231,720.0,82380.0,415,200,0.5064180777837279
60.0,158,530.0,47000.0,380,150,0.313390540556605
58.0,171,460.0,44200.0,340,160,0.3333151265894614
46.3,162,460.0,37540.0,285,150,0.29575785638016006
91.0,190,420.0,58500.0,480,180,0.40855405001542
112.0,168,840.0,57833.3444159492,665,270,0.620617664624982
66.0,191,420.0,47500.0,345,180,0.3826656597136108
67.0,165,480.0,50775.0,405,205,0.3982179240298906
50.8,169,480.0,40050.0,300,150,0.3147451136238031
75.8,190,840.0,67264.284789644,400,200,0.47346376518372524
45.4,175,240.0,38990.0,260,160,0.2856412655032071
76.6,199,550.0,67264.284789644,385,180,0.41164895068573876
76.5,239,440.0,67264.284789644,320,200,0.45260461093514437
107.0,218,640.0,88600.0,490,210,0.49851764916814595
70.0,200,380.0,50990.0,350,200,0.42095425678788057
